id,en,hu
716,"The power of doing anything with quickness is always prized much by the possessor, and often without any attention to the imperfection of the performance.","Ha valaki nagyon gyorsan tud elvégezni valamit, ezzel mindig büszkélkedik, s gyakran nem veszi figyelembe a végzett munka tökéletlenségét."
351,"He paused in hopes of an answer; but his companion was not disposed to make any; and Elizabeth at that instant moving towards them, he was struck with the action of doing a very gallant thing, and called out to her:","Sir William válasz reményében szünetet tartott, de társa nem volt hajlandó felelni. Ebben a pillanatban Elizabeth közeledett feléjük; Sir William hirtelen igen lovagias cselekedetre határozta el magát; és odakiáltott a leánynak:"
936,"""There is some sense in what he says about the girls, however, and if he is disposed to make them any amends, I shall not be the person to discourage him.""","Érdemes megfontolni, amit a lányokról mond. Ha valóban hajlandó volna valamiképpen kárpótolni őket, én lennék a legutolsó, aki erről lebeszélné."
256,"""Mr. Darcy is not so well worth listening to as his friend, is he?--poor Eliza!--to be only just _tolerable_.""","Szegény Eliza! Nem tudott rólad jobbat mondani, mint hogy ""megjárja""."
635,So much the man of fashion!,Előkelő és mégis olyan közvetlen.
644,"Not that I think Charlotte so _very_ plain--but then she is our particular friend.""","Nem mintha én nagyon csúnyának tartanám Charlotte-ot - nem is akarok rosszat mondani róla, mert igen jó barátnőnk."
554,"I scarcely know anyone who cannot do all this, and I am sure I never heard a young lady spoken of for the first time, without being informed that she was very accomplished.""","Alig ismerek olyat, aki mindehhez ne értene, s valahányszor egy fiatal hölgy nevét szóba hozták előttem, rögtön azon kezdték, hogy nagyon művelt."
959,"Not that I mean to find fault with _you_, for such things I know are all chance in this world.","Nem mintha önt hibáztatnám érte, az ilyesmi csupa véletlen ezen a világon."
168,"Everybody said how well she looked; and Mr. Bingley thought her quite beautiful, and danced with her twice!","Mindenki el volt tőle ragadtatva; Mr. Bingley is nagyon szépnek találta, kétszer is táncolt vele!"
917,"It is from my cousin, Mr. Collins, who, when I am dead, may turn you all out of this house as soon as he pleases.""","A levelet unokaöcsém, Mr. Collins írta, aki halálom után bármikor kikergethet benneteket ebből a házból."
528,Elizabeth assured him that she could suit herself perfectly with those in the room.,"Elizabeth megnyugtatta, hogy a szobában levő könyvek között is talál kedvére valót."
823,"I assure you it is very refreshing after sitting so long in one attitude.""","Meglátja majd, mennyire felfrissül a sok ülés után."
985,"Has she any family?""",És van családja?
